Timestamp,Legs,TrueProb,ImpliedProb,EV%,Payout,Stake,PotentialWin,ExpectedProfit,BankrollAfter
2025-10-29 16:00:53,Julius Randle — Market N/A 1.5 | Nickeil Alexander-Walker — Market N/A 1.5 | Josh Okogie — Market N/A 0.5,0.264,0.095,16.9,18.93,11.15,199.92,44.57,133.42
2025-10-29 16:33:03,Josh Okogie — Market N/A 0.5 | Sandro Mamukelashvili — Market N/A 1.5 | Julius Randle — Market N/A 1.5,0.278,0.112,16.6,16.13,11.51,174.15,40.1,128.59
2025-10-29 16:36:12,Josh Okogie — Market N/A 0.5 | Nickeil Alexander-Walker — Market N/A 1.5 | Kevin Huerter — Market N/A 1.5,0.259,0.059,20.0,16.9,10.62,168.86,35.87,125.25
2025-10-29 16:37:15,Sandro Mamukelashvili — Market N/A 1.5 | Josh Okogie — Market N/A 0.5 | Kevin Huerter — Market N/A 1.5,0.273,0.075,19.8,13.25,10.68,130.83,27.95,117.27
2025-10-29 16:40:29,Sandro Mamukelashvili — Market N/A 1.5 | Josh Okogie — Market N/A 0.5 | Kevin Huerter — Market N/A 1.5,0.273,0.067,20.6,14.98,11.05,154.48,34.14,123.09
2025-10-29 16:51:52,Josh Okogie — Market N/A 0.5 | Nickeil Alexander-Walker — Market N/A 1.5 | Kevin Huerter — Market N/A 1.5,0.259,0.062,19.7,16.25,10.52,160.43,33.76,123.24
2025-10-29 16:55:45,Julius Randle — Market N/A 1.5 | Josh Okogie — Market N/A 0.5 | Kevin Huerter — Market N/A 1.5,0.264,0.067,19.7,14.98,10.57,147.77,31.23,120.66
2025-10-29 16:58:47,Josh Okogie — Market N/A 0.5 | Nickeil Alexander-Walker — Market N/A 1.5 | Kevin Huerter — Market N/A 1.5,0.259,0.064,19.5,15.6,10.41,151.99,31.65,121.24
2025-10-29 16:59:11,Sandro Mamukelashvili — Market N/A 1.5 | Nickeil Alexander-Walker — Market N/A 1.5 | Josh Okogie — Market N/A 0.5,0.272,0.067,20.5,14.95,10.99,153.31,33.7,122.71
2025-10-29 17:14:15,Josh Okogie — Market N/A 0.5 | Julius Randle — Market N/A 1.5 | Kevin Huerter — Market N/A 1.5,0.264,0.075,18.9,13.25,10.2,124.95,25.48,115.28
2025-10-29 17:16:48,Kevin Huerter — Market N/A 1.5 | Sandro Mamukelashvili — Market N/A 1.5 | Nickeil Alexander-Walker — Market N/A 1.5,0.258,0.07,18.8,14.35,10.12,135.1,27.35,117.23
2025-10-30 15:38:48,Josh Okogie — Market N/A 0.5 | Julius Randle — Market N/A 1.5 | Kevin Huerter — Market N/A 1.5,0.264,0.059,20.5,16.9,10.89,173.15,37.7,126.81
2025-10-30 16:02:56,Sandro Mamukelashvili — Market N/A 1.5 | Julius Randle — Market N/A 1.5 | Nickeil Alexander-Walker — Market N/A 1.5,0.263,0.059,20.4,16.9,10.83,172.2,37.31,126.48
2025-10-30 21:57:39,Sandro Mamukelashvili — Market N/A 1.5 | Josh Okogie — Market N/A 0.5 | Julius Randle — Market N/A 1.5,0.278,0.073,20.5,13.75,11.07,141.14,31.24,120.17
2025-10-30 22:03:03,Josh Okogie — Market N/A 0.5 | Sandro Mamukelashvili — Market N/A 1.5 | Julius Randle — Market N/A 1.5,0.278,0.07,20.8,14.37,11.2,149.74,33.54,122.34
2025-10-30 22:04:54,Kevin Huerter — Market N/A 1.5 | Josh Okogie — Market N/A 0.5 | Sandro Mamukelashvili — Market N/A 1.5,0.273,0.076,19.7,13.22,10.68,130.51,27.86,117.18
2025-10-31 11:57:50,Josh Okogie — Market N/A 0.5 | Sandro Mamukelashvili — Market N/A 1.5 | Nickeil Alexander-Walker — Market N/A 1.5,0.272,0.069,20.3,14.4,10.88,145.79,31.73,120.85
2025-10-31 13:31:19,Josh Okogie — Market N/A 0.5 | Sandro Mamukelashvili — Market N/A 1.5 | Kevin Huerter — Market N/A 1.5,0.273,0.266,0.7,21.95,11.91,249.51,59.46,147.55
2025-10-31 13:36:11,Sandro Mamukelashvili — Market N/A 1.5 | Julius Randle — Market N/A 1.5 | Josh Okogie — Market N/A 0.5,0.278,0.101,17.7,18.85,11.88,212.06,50.38,138.5
2025-10-31 15:02:27,Julius Randle — Market N/A 1.5 | Sandro Mamukelashvili — Market N/A 1.5 | Kevin Huerter — Market N/A 1.5,0.264,0.064,20.0,15.6,10.68,155.93,33.31,122.63
2025-10-31 15:11:06,Sandro Mamukelashvili 1.5 (150) | Kevin Huerter 1.5 (160) | Josh Okogie 0.5 (130),0.273,0.067,20.6,14.95,11.04,154.01,34.02,122.98
2025-10-31 15:15:24,Josh Okogie 0.5 (160) | Sandro Mamukelashvili 1.5 (140) | Kevin Huerter 1.5 (130),0.273,0.07,20.3,14.35,10.93,145.92,31.89,120.96
2025-10-31 22:46:09,Julius Randle 1.5 (160) | Josh Okogie 0.5 (140) | Kevin Huerter 1.5 (150),0.264,0.064,20.0,15.6,10.68,155.93,33.31,122.63
2025-10-31 23:13:42,Julius Randle 1.5 (160) | Sandro Mamukelashvili 1.5 (140) | Nickeil Alexander-Walker 1.5 (130),0.263,0.07,19.3,14.35,10.39,138.71,28.82,118.43
2025-10-31 23:25:47,Kevin Huerter 1.5 (160) | Julius Randle 1.5 (150) | Nickeil Alexander-Walker 1.5 (140),0.0,0.064,-6.4,15.6,0,0.0,0.0,100.0
2025-10-31 23:29:49,Josh Okogie 0.5 (160) | Sandro Mamukelashvili 1.5 (150) | Kevin Huerter 1.5 (-180),0.0,0.099,-9.9,18.2,0,0.0,0.0,100.0
2025-10-31 23:38:44,Sandro Mamukelashvili — N/A 1.5 | Josh Okogie — N/A 0.5 | Kevin Huerter — N/A 1.5,0.273,0.062,21.1,16.25,11.27,171.87,38.73,127.46
2025-10-31 23:40:33,Julius Randle — N/A 1.5 | Kevin Huerter — N/A 1.5 | Nickeil Alexander-Walker — N/A 1.5,0.25,0.064,18.6,15.55,9.92,144.34,28.65,118.73
2025-10-31 23:42:57,Julius Randle — N/A 1.5 | Nickeil Alexander-Walker — N/A 1.5 | Josh Okogie — N/A 0.5,0.264,0.064,20.0,15.55,10.67,155.25,33.13,122.46
2025-10-31 23:44:20,Josh Okogie — N/A 0.5 | Julius Randle — N/A 1.5 | Sandro Mamukelashvili — N/A 1.5,0.278,0.122,15.6,14.81,11.29,155.91,35.19,123.9
2025-10-31 23:47:22,Kevin Huerter — N/A 1.5 | Julius Randle — N/A 1.5 | Nickeil Alexander-Walker — N/A 1.5,0.031,0.07,-3.9,14.35,0,0.0,0.0,100.0
2025-10-31 23:49:31,Josh Okogie — N/A 0.5 | Sandro Mamukelashvili — N/A 1.5 | Nickeil Alexander-Walker — N/A 1.5,0.034,0.062,-2.8,16.25,0,0.0,0.0,100.0
